Joint_3,Joint_2,Joint_1,time
72.00,89.00,38.65,0.83
72.00,89.00,39.36,0.83
72.00,89.00,40.31,0.83
72.00,89.00,40.78,0.84
72.00,89.00,41.50,0.84
72.00,89.00,42.69,0.85
72.00,89.00,43.41,0.85
72.00,89.00,44.37,0.86
72.00,89.00,45.09,0.86
72.00,89.00,46.30,0.86
72.00,89.00,47.02,0.87
72.00,89.00,47.75,0.87
72.00,89.00,48.49,0.88
72.00,89.00,48.97,0.88
72.00,89.00,49.46,0.88
72.00,89.00,49.96,0.89
72.00,89.00,50.69,0.89
72.00,89.00,51.19,0.90
72.00,89.00,52.18,0.90
72.00,89.00,53.17,0.90
72.00,89.00,54.42,0.91
72.00,89.00,54.92,0.91
72.00,89.00,55.93,0.92
72.00,89.00,57.19,0.92
72.00,89.00,58.21,0.92
72.00,89.00,58.72,0.93
72.00,89.00,59.49,0.93
72.00,89.00,60.00,0.94
72.00,89.00,60.51,0.94
72.00,89.00,61.29,0.95
72.00,89.00,61.81,0.95
72.00,89.00,62.33,0.95
72.00,89.00,63.11,0.96
72.00,89.00,64.16,0.96
72.00,89.00,65.48,0.96
72.00,89.00,66.54,0.97
72.00,89.00,67.07,0.97
72.00,89.00,67.88,0.98
72.00,89.00,68.14,0.98
