time,theta_m,theta_D_joint,theta_P_joint,theta_M_joint,pwm
0,1.26,0.619672131147541,0.0,0.0,420
0.001,2.519496,1.2390963934426231,0.0,0.0,420
0.002,3.7784882016000005,1.8582728860327873,0.0,0.0,420
0.003,5.036976806319361,2.477201708025915,0.0,0.0,420
0.004,6.294962015596833,3.095882958490246,0.0,0.0,420
0.005,7.5524440307905945,3.714316736454391,0.0,0.0,420
0.006,8.809423053178278,4.332503140907351,0.0,0.0,420
0.007,10.065899283957007,4.950442270798529,0.0,0.0,420
0.008,11.321872924243424,5.56813422503775,0.0,0.0,420
0.009000000000000001,12.577344175073726,6.185579102495276,0.0,0.0,420
0.010000000000000002,13.832313237403696,6.802777002001818,0.0,0.0,420
0.011000000000000003,15.086780312108734,7.419728022348558,0.0,0.0,420
0.012000000000000004,16.34074559998389,8.03643226228716,0.0,0.0,420
0.013000000000000005,17.594209301743895,8.652889820529785,0.0,0.0,420
0.014000000000000005,18.847171618023197,9.269100795749114,0.0,0.0,420
0.015000000000000006,20.09963274937599,9.885065286578357,0.0,0.0,420
0.016000000000000007,21.351592896276237,10.500783391611265,0.0,0.0,420
0.017000000000000008,22.603052259117728,11.116255209402164,0.0,0.0,420
0.01800000000000001,23.854011038214082,11.731480838465943,0.0,0.0,420
0.01900000000000001,25.104469433798798,12.346460377278097,0.0,0.0,420
0.02000000000000001,26.35442764602528,12.961193924274728,0.0,0.0,420
0.02100000000000001,27.60388587496687,13.57568157785256,0.0,0.0,420
0.022000000000000013,28.85284432061689,14.189923436368963,0.0,0.0,420
0.023000000000000013,30.10130318288864,14.803919598141956,0.0,0.0,420
0.024000000000000014,31.349262661615484,15.417670161450241,0.0,0.0,420
0.025000000000000015,32.596722956550835,16.0311752245332,0.0,0.0,420
0.026000000000000016,33.843684267368225,16.64443488559093,0.0,0.0,420
0.027000000000000017,35.090146793661276,17.257449242784237,0.0,0.0,420
0.028000000000000018,36.33611073494381,17.870218394234662,0.0,0.0,420
0.02900000000000002,37.581576290649835,18.48274243802451,0.0,0.0,420
0.03000000000000002,38.826543660133574,19.09502147219684,0.0,0.0,420
0.03100000000000002,40.07101304266952,19.707055594755502,0.0,0.0,420
0.03200000000000002,41.314984637452454,20.318844903665145,0.0,0.0,420
0.03300000000000002,42.558458643597476,20.93038949685122,0.0,0.0,420
0.03400000000000002,43.80143526014004,21.541689472200023,0.0,0.0,420
0.035000000000000024,45.04391468603598,22.152744927558683,0.0,0.0,420
0.036000000000000025,46.28589712016157,22.763555960735204,0.0,0.0,420
0.037000000000000026,47.527382761313504,23.374122669498448,0.0,0.0,420
0.03800000000000003,48.768371808208975,23.98444515157819,0.0,0.0,420
0.03900000000000003,50.00886445948569,24.5945235046651,0.0,0.0,420
0.04000000000000003,51.248860913701904,25.204357826410774,0.0,0.0,420
0.04100000000000003,52.488361369336424,25.81394821442775,0.0,0.0,420
0.04200000000000003,53.72736602478869,26.42329476628952,0.0,0.0,420
0.04300000000000003,54.96587507837877,27.03239757953055,0.0,0.0,420
0.04400000000000003,56.20388872834742,27.641256751646278,0.0,0.0,420
0.04500000000000003,57.44140717285608,28.249872380093155,0.0,0.0,420
0.046000000000000034,58.67843060998695,28.85824456228866,0.0,0.0,420
0.047000000000000035,59.914959237742956,29.466373395611292,0.0,0.0,420
0.048000000000000036,61.150993254047854,30.07425897740059,0.0,0.0,420
0.04900000000000004,62.386532856746236,30.681901404957163,0.0,0.0,420
0.05000000000000004,63.62157824360354,31.289300775542724,0.0,0.0,420
0.05100000000000004,64.85612961230609,31.89645718638005,0.0,0.0,420
0.05200000000000004,66.09018716046117,32.50337073465304,0.0,0.0,420
0.05300000000000004,67.32375108559698,33.110041517506716,0.0,0.0,420
0.05400000000000004,68.55682158516274,33.71646963204725,0.0,0.0,420
0.05500000000000004,69.78939885652868,34.32265517534197,0.0,0.0,420
0.05600000000000004,71.02148309698606,34.92859824441938,0.0,0.0,420
0.057000000000000044,72.25307450374727,35.53429893626915,0.0,0.0,420
0.058000000000000045,73.48417327394577,36.139757347842185,0.0,0.0,420
0.059000000000000045,74.71477960463619,36.74497357605059,0.0,0.0,420
0.060000000000000046,75.94489369279434,37.34994771776771,0.0,0.0,420
0.06100000000000005,77.17451573531721,37.95467986982815,0.0,0.0,420
0.06200000000000005,78.40364592902309,38.55917012902775,0.0,0.0,420
0.06300000000000004,79.63228447065147,39.163418592123676,0.0,0.0,420
0.06400000000000004,80.8604315568632,39.76742535583437,0.0,0.0,420
0.06500000000000004,82.08808738424045,40.371190516839576,0.0,0.0,420
0.06600000000000004,83.31525214928675,40.97471417178038,0.0,0.0,420
0.06700000000000005,84.54192604842703,41.5779964172592,0.0,0.0,420
0.06800000000000005,85.76810927800766,42.18103734983983,0.0,0.0,420
0.06900000000000005,86.99380203429645,42.78383706604743,0.0,0.0,420
0.07000000000000005,88.21900451348273,43.38639566236856,0.0,0.0,420
0.07100000000000005,89.44371691167734,43.988713235251154,0.0,0.0,420
0.07200000000000005,90.66793942491267,44.5907898811046,0.0,0.0,420
0.07300000000000005,91.89167224914272,45.1926256962997,0.0,0.0,420
0.07400000000000005,93.11491558024306,45.794220777168725,0.0,0.0,420
0.07500000000000005,94.33766961401098,46.3955752200054,0.0,0.0,420
0.07600000000000005,95.5599345461654,46.99668912106495,0.0,0.0,420
0.07700000000000005,96.78171057234692,47.597562576564066,0.0,0.0,420
0.07800000000000006,98.00299788811799,48.19819568268098,0.0,0.0,420
0.07900000000000006,99.22379668896275,48.79858853555545,0.0,0.0,420
